inputDAI,cumulativeDAI,outputFlashSC
100000.0,100000.0,3259389.59677419347193785
100000.0,200000.0,3006724.8218304575708976
100000.0,300000.0,2782342.37244012496629
100000.0,400000.0,2582173.8564372383262084
100000.0,500000.0,2402856.227517985618197
100000.0,600000.0,2241590.70889261735766175
100000.0,700000.0,2096032.87065283722702
100000.0,800000.0,1964206.90394511139167975
100000.0,900000.0,1844438.1902899218375837
100000.0,1000000.0,1735299.83583489674397165
100000.0,1100000.0,1635569.96021220162334155
100000.0,1200000.0,1544197.3367366596371048
100000.0,1300000.0,1460273.56843575422810595
100000.0,1400000.0,1383010.416666666578154
100000.0,1500000.0,1311721.2199312714483263
100000.0,1600000.0,1245805.58073874535067435
100000.0,1700000.0,1184736.6797221401276558
100000.0,1800000.0,1128050.71418519554056255
100000.0,1900000.0,1075338.06398962578186825
100000.0,2000000.0,1026235.86928690304921535
100000.0,2100000.0,980421.7679794520837127
100000.0,2200000.0,937608.59033842795151175
100000.0,2300000.0,897539.84716157205972255
100000.0,2400000.0,859985.8786610877593808
100000.0,2500000.0,824740.5557651416859976
100000.0,2600000.0,791618.445091842738006
100000.0,2700000.0,760452.36457641591893025
100000.0,2800000.0,731091.26941902533752725
100000.0,2900000.0,703398.4183046683562427
100000.0,3000000.0,677249.77821899290654125
100000.0,3100000.0,652532.63302851864265935
100000.0,3200000.0,629144.3666117259422136
100000.0,3300000.0,606991.3959563834794596
100000.0,3400000.0,585988.23346654327323405
100000.0,3500000.0,566056.6608996538717569
100000.0,3600000.0,547125.00000000000941055
100000.0,3700000.0,529127.4671052632357823
100000.0,3800000.0,512003.6008559018875146
100000.0,3900000.0,495697.7536948859020599
100000.0,4000000.0,480158.6391589960137984
100000.0,4100000.0,465338.92807384195180695
100000.0,4200000.0,451194.8877068557255149
100000.0,4300000.0,437686.05873359659960395
100000.0,4400000.0,424774.9655556144767484
100000.0,4500000.0,412426.8560917884031926
100000.0,4600000.0,400609.4676650896877502
100000.0,4700000.0,389292.8160361322684511
100000.0,4800000.0,378449.00500448518791405
100000.0,4900000.0,368052.0543175486889697
100000.0,5000000.0,358077.7439024391013863
100000.0,5100000.0,348503.4726751010069091
100000.0,5200000.0,339308.13038815916871375
100000.0,5300000.0,330471.9811593008011203
100000.0,5400000.0,321976.5574791129779415
100000.0,5500000.0,313804.56363446561663565
100000.0,5600000.0,305939.78760352655328135
100000.0,5700000.0,298367.02058363729803365
100000.0,5800000.0,291071.98340555338535805
100000.0,5900000.0,284041.25916870412228065
100000.0,6000000.0,277262.2315035799657977
100000.0,6100000.0,270723.02793038228695515
100000.0,6200000.0,264412.4678387649494583
100000.0,6300000.0,258320.0146627566137217
100000.0,6400000.0,252435.7318686163452765
100000.0,6500000.0,246750.2424121160185851
